Rodada,Jogo,Palpite_Time1,Palpite_Time2
2,EC Bahia vs Fluminense FC,1,0
2,RB Bragantino vs CR Vasco da Gama,0,1
2,Grêmio FBPA vs CA Paranaense,1,2
2,CA Mineiro vs Criciúma EC,1,2
2,Fortaleza EC vs Cruzeiro EC,4,2
2,EC Juventude vs SC Corinthians Paulista,2,4
2,SE Palmeiras vs SC Internacional,2,4
2,CR Flamengo vs São Paulo FC,2,4
2,Botafogo FR vs AC Goianiense,4,5
2,Cuiabá EC vs EC Vitória,5,4
