Rodada,Jogo,Palpite_Time1,Palpite_Time2
12,Botafogo FR vs RB Bragantino,1.0,2.0
12,Cruzeiro EC vs CA Paranaense,2.0,1.0
12,AC Goianiense vs Grêmio FBPA,2.0,2.0
12,SC Corinthians Paulista vs Cuiabá EC,2.0,1.0
12,EC Juventude vs CR Flamengo,1.0,2.0
12,EC Bahia vs CR Vasco da Gama,2.0,1.0
12,Fortaleza EC vs SE Palmeiras,,
12,SC Internacional vs CA Mineiro,,
12,Fluminense FC vs EC Vitória,,
12,São Paulo FC vs Criciúma EC,,
