Rodada,Data,Jogo,Resultado_Time1,Resultado_Time2,Status
37,2024-12-03 21:00,Cruzeiro EC vs SE Palmeiras,,,SCHEDULED
37,2024-12-03 21:00,Fluminense FC vs Cuiabá EC,,,SCHEDULED
37,2024-12-03 21:00,SC Internacional vs Botafogo FR,,,SCHEDULED
37,2024-12-03 21:00,São Paulo FC vs EC Juventude,,,SCHEDULED
37,2024-12-03 21:00,CR Vasco da Gama vs CA Mineiro,,,SCHEDULED
37,2024-12-03 21:00,EC Vitória vs Grêmio FBPA,,,SCHEDULED
38,2024-12-07 21:00,CA Mineiro vs CA Paranaense,,,SCHEDULED
38,2024-12-07 21:00,EC Bahia vs AC Goianiense,,,SCHEDULED
38,2024-12-07 21:00,Botafogo FR vs São Paulo FC,,,SCHEDULED
38,2024-12-07 21:00,RB Bragantino vs Criciúma EC,,,SCHEDULED
38,2024-12-07 21:00,Cuiabá EC vs CR Vasco da Gama,,,SCHEDULED
38,2024-12-07 21:00,CR Flamengo vs EC Vitória,,,SCHEDULED
38,2024-12-07 21:00,Fortaleza EC vs SC Internacional,,,SCHEDULED
38,2024-12-07 21:00,Grêmio FBPA vs SC Corinthians Paulista,,,SCHEDULED
38,2024-12-07 21:00,EC Juventude vs Cruzeiro EC,,,SCHEDULED
38,2024-12-07 21:00,SE Palmeiras vs Fluminense FC,,,SCHEDULED
